name,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,total_grade,total_level
Walt Disney Co,1,31,5,2,3,1,3,1,510,316.0,321.0,1147,4,2
General Motors Co,1,4,5,2,3,1,2,1,510,303.0,255.0,1068,4,2
WW Grainger Inc,1,45,2,1,3,1,2,1,255,385.0,240.0,880,3,1
Mohawk Industries Inc,1,13,5,2,2,1,3,1,570,298.0,303.0,1171,4,2
Live Nation Entertainment Inc,1,31,4,2,3,1,2,1,492,310.0,250.0,1052,4,2
Las Vegas Sands Corp,1,22,5,2,3,1,3,1,547,318.0,313.0,1178,4,2
Clorox Co,1,13,5,2,3,1,3,1,560,350.0,345.0,1255,5,2
ATA Creativity Global,0,15,2,1,2,1,2,1,203,200.0,205.0,608,2,1
American Airlines Group Inc,0,2,2,1,2,1,2,1,270,211.0,265.0,746,2,1
Atlantic American Corp,0,25,2,1,2,1,3,1,220,221.0,300.0,741,2,1
Applied Optoelectronics Inc,0,11,3,1,2,1,2,1,311,256.0,218.0,785,3,1
Aaon Inc,0,8,5,2,3,1,2,1,500,300.0,223.0,1023,4,2
Apple Inc,0,41,3,1,2,1,2,1,355,281.0,255.0,891,3,1
Autoscope Technologies Corp,0,16,4,2,2,1,2,1,410,286.0,240.0,936,4,2
Atlas Air Worldwide Holdings Inc,0,28,5,2,2,1,2,1,520,243.0,237.0,1000,4,2
Armada Acquisition Corp I,0,47,2,1,2,1,2,1,205,200.0,200.0,605,2,1
Aadi Bioscience Inc,0,7,2,1,2,1,2,1,200,201.0,203.0,604,2,1
Abeona Therapeutics Inc,0,7,2,1,3,1,3,1,205,306.0,310.0,821,3,1
Airbnb Inc,0,22,5,2,5,2,4,2,505,442.375,400.0,1475,5,2
ARCA Biopharma Inc,0,7,2,1,2,1,2,1,200,222.0,290.0,712,2,1
ABIOMED Inc,0,21,5,2,3,1,3,1,500,324.0,305.0,1129,4,2
Acumen Pharmaceuticals Inc,0,7,2,1,2,1,2,1,205,201.0,200.0,606,2,1
Absci Corp,0,27,2,1,2,1,2,1,205,224.0,230.0,659,2,1
