name,market_type,sector,environment_score,social_score,governance_score,total_esg_score,grade_impact,sector_avg_diff,risk_level,performance_level
Walt Disney Co,NYSE,Media,510,316,321,1147,BBB – High,211.7,Low Risk,Excellent
General Motors Co,NYSE,Automobiles,510,303,255,1068,BBB – High,208.8,Medium Risk,Good
WW Grainger Inc,NYSE,Trading Companies and Distributors,255,385,240,880,BB – Medium,-5.2,Medium Risk,Average
Mohawk Industries Inc,NYSE,Consumer products,570,298,303,1171,BBB – High,225.5,Low Risk,Excellent
Live Nation Entertainment Inc,NYSE,Media,492,310,250,1052,BBB – High,116.7,Medium Risk,Good
Las Vegas Sands Corp,NYSE,Hotels Restaurants and Leisure,547,318,313,1178,BBB – High,259.1,Low Risk,Excellent
Clorox Co,NYSE,Consumer products,560,350,345,1255,A – High,309.5,Low Risk,Excellent
ATA Creativity Global,NASDAQ,Diversified Consumer Services,203,200,205,608,B – Medium,-131.3,High Risk,Poor
American Airlines Group Inc,NASDAQ,Airlines,270,211,265,746,B – Medium,-92.7,High Risk,Poor
Atlantic American Corp,NASDAQ,Insurance,220,221,300,741,B – Medium,-271.4,High Risk,Poor
Applied Optoelectronics Inc,NASDAQ,Communications,311,256,218,785,BB – Medium,-153.2,Medium Risk,Average
Aaon Inc,NASDAQ,Building,500,300,223,1023,BBB – High,-51.2,Medium Risk,Average
Apple Inc,NASDAQ,Technology,355,281,255,891,BB – Medium,-140.3,Medium Risk,Average
Autoscope Technologies Corp,NASDAQ,Electrical Equipment,410,286,240,936,BBB – High,3.0,Medium Risk,Average
Atlas Air Worldwide Holdings Inc,NASDAQ,Logistics and Transportation,520,243,237,1000,BBB – High,-25.2,Medium Risk,Average
Armada Acquisition Corp I,NASDAQ,Unknown,205,200,200,605,B – Medium,,High Risk,Poor
Aadi Bioscience Inc,NASDAQ,Biotechnology,200,201,203,604,B – Medium,-262.9,High Risk,Poor
Abeona Therapeutics Inc,NASDAQ,Biotechnology,205,306,310,821,BB – Medium,-45.9,Medium Risk,Average
Airbnb Inc,NASDAQ,Hotels Restaurants and Leisure,505,570,400,1475,A – High,556.1,Low Risk,Excellent
ARCA Biopharma Inc,NASDAQ,Biotechnology,200,222,290,712,B – Medium,-154.9,High Risk,Poor
ABIOMED Inc,NASDAQ,Health Care,500,324,305,1129,BBB – High,190.2,Low Risk,Good
Acumen Pharmaceuticals Inc,NASDAQ,Biotechnology,205,201,200,606,B – Medium,-260.9,High Risk,Poor
Absci Corp,NASDAQ,Life Sciences Tools and Services,205,224,230,659,B – Medium,-334.1,High Risk,Poor
Allegiance Bancshares Inc,NASDAQ,Banking,298,300,300,898,BB – Medium,-0.3,Medium Risk,Average
Arbutus Biopharma Corp,NASDAQ,Biotechnology,203,204,338,745,B – Medium,-121.9,High Risk,Poor
ABVC Biopharma Inc,NASDAQ,Biotechnology,220,212,205,637,B – Medium,-229.9,High Risk,Poor
ACADIA Pharmaceuticals Inc,NASDAQ,Biotechnology,230,230,305,765,BB – Medium,-101.9,Medium Risk,Average
Acri Capital Acquisition Corp,NASDAQ,Unknown,200,205,300,705,B – Medium,,High Risk,Poor
Accolade Inc,NASDAQ,Health Care,255,254,235,744,B – Medium,-194.8,High Risk,Poor
Adicet Bio Inc,NASDAQ,Biotechnology,215,211,305,731,B – Medium,-135.9,High Risk,Poor
Abcellera Biologics Inc,NASDAQ,Life Sciences Tools and Services,540,354,345,1239,A – High,245.9,Low Risk,Excellent
Ameris Bancorp,NASDAQ,Banking,290,300,250,840,BB – Medium,-58.3,Medium Risk,Average
ACE Convergence Acquisition Corp,NASDAQ,Unknown,225,211,215,651,B – Medium,,High Risk,Poor
Achilles Therapeutics PLC,NASDAQ,Biotechnology,230,288,285,803,BB – Medium,-63.9,Medium Risk,Average
Acadia Healthcare Company Inc,NASDAQ,Health Care,330,231,220,781,BB – Medium,-157.8,Medium Risk,Average
ACI Worldwide Inc,NASDAQ,Technology,500,327,300,1127,BBB – High,95.7,Low Risk,Good
Axcelis Technologies Inc,NASDAQ,Semiconductors,515,306,260,1081,BBB – High,50.4,Medium Risk,Good
AC Immune SA,NASDAQ,Biotechnology,250,296,305,851,BB – Medium,-15.9,Medium Risk,Average
Achieve Life Sciences Inc,NASDAQ,Biotechnology,215,222,305,742,B – Medium,-124.9,High Risk,Poor
ACM Research Inc,NASDAQ,Semiconductors,410,232,325,967,BBB – High,-63.6,Medium Risk,Average
Acorda Therapeutics Inc,NASDAQ,Biotechnology,230,307,310,847,BB – Medium,-19.9,Medium Risk,Average
ACNB Corp,NASDAQ,Banking,220,219,215,654,B – Medium,-244.3,High Risk,Poor
Aclaris Therapeutics Inc,NASDAQ,Pharmaceuticals,230,207,220,657,B – Medium,-246.7,High Risk,Poor
